Food Item,Data Source,Portion,Energy (kcal),Protein (g),Carbohydrate (g),Total Fat (g),Dietary Fibre (g),Sugars (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
"Peach nectar, canned, without added ascorbic acid",A,100g,54,0.27,13.92,0.02,0.6,13.32,0.002,,0,7
"Tangerine juice, canned, sweetened",A,100g,50,0.5,12,0.2,0.2,11.8,0.013,,0,1
"Coffee, brewed, espresso, restaurant-prepared",A,100g,2,0.12,0,0.18,0,0,0.092,0,0,14
"Nuts, coconut water (liquid from coconuts)",A,100g,19,0.72,3.71,0.2,1.1,2.61,0.176,,0,105
"Carbonated beverage, grape soda",A,100g,43,0,11.2,0,0,,0,,0,15
"Blackberry juice, canned",A,100g,38,0.3,7.8,0.6,0.1,7.7,0.018,,0,1
"Tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder, decaffeinated",A,100g,385,0.12,98.55,0.73,0,95.29,0.091,,0,5
"Fruit punch-flavor drink, powder, without added sodium",A,100g,382,0,97.7,0.1,0,95.2,0.057,,0,42
"Passion-fruit juice, yellow, raw",A,100g,60,0.67,14.45,0.18,0.2,14.25,0.015,,0,6
"Tangerine juice, raw",A,100g,43,0.5,10.1,0.2,0.2,9.9,0.024,,0,1
"Coffee, brewed from grounds, prepared with tap water",A,100g,1,0.12,0,0.02,0,0,0.002,0,0,2
"Tomato juice, canned, without salt added",A,100g,17,0.76,4.24,0.05,0.4,3.56,0.008,,0,10
"Carbonated beverage, ginger ale",A,100g,34,0,8.77,0,0,8.7,0,,0,7
"Cocoa mix, powder, prepared with water",A,100g,55,0.92,11.54,0.55,0.5,9.03,0.328,0.104,0,73
"Limeade, frozen concentrate",A,100g,247,0,62.32,0,0,59.96,0,,0,0
"Apricot nectar, canned, without added ascorbic acid",A,100g,56,0.37,14.39,0.09,0.6,13.79,0.006,,0,3
"Tea, brewed, prepared with tap water",A,100g,1,0,0.3,0,0,0,0.002,,0,3
"Water, tap, drinking",A,100g,0,0,0,0,0,0,0,,0,4
"Orange-grapefruit juice, canned, unsweetened",A,100g,43,0.6,10.28,0.1,0.1,10.18,0.011,,0,3
"Coffee and cocoa (mocha) powder, with whitener and low calorie sweetener, decaffeinated",A,100g,257,9,71.4,13.21,4.8,34.98,11.376,,0,500
"Carrot juice, canned",A,100g,40,0.95,9.28,0.15,0.8,3.91,0.027,,0,29
"Carbonated beverage, cream soda",A,100g,51,0,13.3,0,0,13.3,0,,0,12
"Cocoa mix, powder",A,100g,398,6.67,83.73,4,3.7,65.55,2.377,,0,504
"Lemonade, frozen concentrate, white, prepared with water",A,100g,40,0.07,10.42,0.04,0,9.98,0.006,,0,4
"Carbonated beverage, cola, contains caffeine",A,100g,37,0.07,9.56,0.02,0,8.97,0,,0,4
"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water",A,100g,45,0.68,10.78,0.06,0.2,8.4,0.007,,0,1
"Coffee, brewed, espresso, restaurant-prepared, decaffeinated",A,100g,0,0.1,0,0.18,0,0,0.092,0,0,14
"Vegetable juice cocktail, canned",A,100g,19,0.63,4.55,0.09,0.8,3.3,0.013,,0,270
"Carbonated beverage, club soda",A,100g,0,0,0,0,0,0,0,,0,21
"Clam and tomato juice, canned",A,100g,48,0.6,10.95,0.2,0.4,3.31,0,,0,362
"Lemonade, frozen concentrate, white",A,100g,196,0.22,49.89,0.7,0.3,44.46,0.025,,0,7
"Tea, instant, unsweetened, powder, decaffeinated",A,100g,315,20.21,58.66,0,8.5,5.53,0,,0,72
"Tea brick, small",B,100g,308,15.1,68.9,4,32.1,,,,,84.6
Orange crystal,B,100g,390,0.2,96.5,0.4,,,,,,33
Tea brick,B,100g,283,14.5,66.7,4,38.8,,,,,15.1
Kiwi crystal,B,100g,390,0.4,97.1,ND,,,,,,2.2
Integripetal rhodiola drink,B,100g,33,0,8.2,0,0,,,,,10.3
Bayberry crystal,B,100g,394,0.2,98.4,ND,,,,,,11.5
"Malted milk crystal, mixture of cocoa, malt and milk",B,100g,429,8.5,77,9.7,,,,,,177.8
Hawthorn berry crystal,B,100g,386,0.1,95.9,0.2,,,,,,57.7
Cocoa mix powder,B,100g,349,20.9,54.5,8.4,14.3,,,,,23
Sea buckthorn berry juice,B,100g,48,2.6,9.3,,0,,,,,396.8
"Almond drink, bottled",B,100g,46,0.9,8.1,1.1,,,,,52,9.2
"“Smoked plum”, Japanese apricot juice",B,100g,133,0.2,32.8,0.1,ND,,,,,24.3
"Chocolate flavored soy milk, bottled",B,100g,39,2.9,5.8,0.5,,,,,,25.4
"Orange juice, concentrated",B,100g,235,0.8,57.3,0.3,,,,,,4.4
"Lemon soda, bottled",B,100g,38,,9.5,,,,,,,3.3
Tea drink,B,100g,0,0.1,0,ND,,,,,,3.9
"Sea buckthorn berry drink, bottled",B,100g,47,0.9,10.6,0.5,1.7,,,,,5.4
"Orange soda, orange flavored, bottled",B,100g,20,ND,5.1,ND,,,,,,8.1
"“Pearl”tea, green tea, small ball shape",B,100g,334,28.7,58.3,1.7,14.6,,,,,13.3
Lemon juice,B,100g,27,0.9,5.5,0.2,0.3,,,,,1.2
"Sour soybean milk, fermented",B,100g,67,2.2,11.8,1.2,ND,,,,,18.6
"Tea, “Tieguanyin”, fermented",B,100g,334,22.8,65,1.3,14.7,,,,,7.8
"Hawthorn berry drink, bottled",B,100g,157,ND,38.7,0.2,,,,,,19.1
"“Sour soybean drink”, fermented ground beans",B,100g,10,0.9,1.4,0.1,0.1,,,,,6.5
Persimmon leaf tea,B,100g,321,25.8,59.1,1.9,17.7,,,,,
Sugar cane juice,B,100g,65,0.4,16,0.1,0.6,,,,,3
"Soybean milk, mixed with bovine milk",B,100g,30,2.4,1.8,1.5,ND,,,,5,3.2
Pomegranate flower tea,B,100g,343,10.5,74.2,2.9,11.2,,,,,36.6
"Rose hips drink, in carton",B,100g,32,ND,8.1,ND,,,,,,4.4
Soybean milk,B,100g,16,1.8,1.1,0.7,1.1,,,,,3
Green tea,B,100g,328,34.2,50.3,2.3,15.6,,,,,28.2
"Orange drink, bottled",B,100g,119,ND,29.6,0.1,,,,,,18.6
"Tea, “Longjing”, first grade",B,100g,331,33.3,48.9,2.7,11.1,,,,,54.4
"Orange drink with fresh orange juice, in carton",B,100g,30,0.1,7.4,ND,,,,,,4.2
Jasmine tea,B,100g,316,27.1,58.1,1.2,17.7,,,,,8
Black tea,B,100g,324,26.7,59.2,1.1,14.8,,,,,13.6
Cappuccino,C,100g,39,2.1,2.9,2.2,Trace,2.4,1.2,,6.8,26
Pear juice (fresh),C,100g,43,Trace,10,Trace,0,8.8,0.01,,0,0
Pineapple punch (regular),C,100g,45,Trace,9.7,0.5,0,9.3,Trace,,0,Trace
Mixed fruit icy drink (regular),C,100g,54,0,11,0.8,0,9.6,0.3,,0,Trace
Iced milk tea with pearl tapioca (regular),C,100g,65,Trace,11,2.1,Trace,5.8,1.8,,Trace,19
Lemon cola,C,100g,40,Trace,9.6,Trace,0,8.9,0,,0,Trace
Iced cocoa drink (light),C,100g,39,1.6,4.4,1.6,Trace,4.3,0.95,,4.2,18
Espresso,C,100g,12,0.8,1.7,Trace,Trace,0,0.046,,0,0
Mango juice (fresh),C,100g,47,Trace,11,Trace,0,9.3,0.032,,0,0
Mixed fruit punch (light),C,100g,45,0,11,0.3,0,9.4,Trace,,0,Trace
Pineapple punch (light),C,100g,37,0,8.3,0.4,0,7.5,Trace,,0,Trace
Lemon coffee,C,100g,18,0.4,3.8,Trace,0,2.2,0,,0,0
Iced lemon soda,C,100g,23,0,5.4,0,0,5.2,0,,0,9
Iced cocoa drink (regular),C,100g,45,1.6,5.8,1.7,Trace,5.5,0.95,,4.1,18
Milk tea with pearl tapioca (no sugar added),C,100g,72,0.3,12,2.7,Trace,5.1,2.4,0.02,0.07,24
Watermelon juice (fresh),C,100g,28,0.6,6.2,ND,0,5.3,0.011,,0,0
Mixed fruit punch (regular),C,100g,48,Trace,12,0.3,0,9.8,Trace,,0,Trace
Iced lemon coffee (light),C,100g,28,0.3,6.8,0,0,5.7,0,,0,0
Iced salted lemon soda,C,100g,23,0,5.8,0,0,5.2,0,,0,230
Cocoa drink,C,100g,42,2.1,3.6,2.2,1.3,3.5,1.4,,6.1,25
Carrot juice (fresh),C,100g,27,0.7,5.5,Trace,Trace,3.6,0.025,,0,75
Pineapple icy drink (light),C,100g,40,0,8.9,0.4,0,6.9,Trace,,0,0
Iced lemon coffee (regular),C,100g,37,0.3,8.6,0,0,7.6,0,,0,0
Citron tea,C,100g,45,0,11,0,0,9.6,0,,0,19
Iced almond drink (light),C,100g,42,1.1,6.6,1.3,0,4.7,0.72,,2.3,16
"“Yuan-yang” (Hong Kong mixed coffee milk-tea, no sugar added)",C,100g,52,2.4,5.2,2.3,Trace,4.8,1.5,0.024,8.1,30
Pineapple icy drink (regular),C,100g,51,0,12,0.4,0,11,Trace,,0,0
"Iced “Yuan-yang” (mixed coffee milk-tea, light)",C,100g,39,1.3,5.9,1.1,Trace,5.7,0.57,,3.6,14
Iced lemon and kumquat honey (light),C,100g,39,0.3,8.9,Trace,0,7,0,,0,110
Iced almond drink (regular),C,100g,49,1.1,8.6,1.3,0,5.8,0.75,,2.4,16
"Milk tea (Hong Kong style, no sugar added)",C,100g,44,2.2,3.1,2.6,1.1,2.8,1.3,0.066,6.8,38
Orange juice (fresh),C,100g,45,0.7,10,Trace,0,7.7,0.016,,0,0
"Iced “Yuan-yang” (mixed coffee milk-tea, regular)",C,100g,51,1.5,8.5,1.3,0,7.9,0.62,,4,16
Iced chocolate drink (light),C,100g,44,1.2,7,1.4,Trace,5.8,0.84,,2.5,24
"Coffee (Hong Kong style, no sugar added)",C,100g,41,1.9,3.2,2.3,Trace,2,1.3,0.033,6,32
Milk Tea with Herb Jelly (Black Tea),C,100g,45,0.31,6.9,1.8,1,4.7,1.2,0.01,1.1,26
Red bean icy drink (light),C,100g,75,2.4,14,1,2.1,9.5,0.46,,1.8,9
Iced lemon tea (light),C,100g,28,0,6.6,Trace,0,5.8,0,,0,0
Iced chocolate drink (regular),C,100g,53,1.1,8.8,1.4,Trace,6.2,0.91,,2.4,26
"“Yuan-yang” (Hong Kong style mixed coffee and milk tea, sweetened)",C,100g,47,2.2,4.8,2.2,,,1.2,,6.6,35
Pearl tapioca milk tea (2018),C,100g,78,Trace,13.4,2.6,Trace,5,1.8,0.012,0.59,18
Almond drink (no sugar added),C,100g,45,1.4,6.2,1.7,0,3.7,0.98,0.017,3.3,23
Iced lemon tea (regular),C,100g,46,0,11,0.3,0,8,0,,0,0
Hot chocolate drink,C,100g,55,1.6,7.8,1.9,1.1,5.6,1.2,,3.9,36
"Coffee (Hong Kong style, sweetened)",C,100g,43,2.2,3.9,2.1,,,1.2,,6.2,32
Taro milk tea,C,100g,74,0.5,11,3.2,Trace,5.1,2.3,0.02,1.2,19
Tri-colour icy drink (regular),C,100g,78,0.9,12,2.8,1.1,10,2.2,0,0.09,8
Lemon tea,C,100g,15,Trace,3,Trace,0,0.8,0,,0,0
Iced lemon honey (light),C,100g,24,0,5.3,Trace,0,4.9,0,,0,Trace
"Milk tea (Hong Kong style, sweetened)",C,100g,45,2.3,3.6,2.4,,,1.3,,6.9,35
Cheese milk foam/ milk foam green tea,C,100g,57,0.39,7.1,3,0,3.5,1.6,0.043,4.4,54
“Cendol” icy drink (regular),C,100g,77,0,11,3.8,0,7.2,3,0,0.2,12
Iced lemon honey (regular),C,100g,31,0,7.4,Trace,0,6.9,0,,0,Trace
Mango green tea,C,100g,37,0,8.7,Trace,0,5.7,0.0045,0,0,5.1
Ginseng honey,C,100g,36,0,8.3,Trace,0,7.8,0,,0,0
Matcha latte,C,100g,56,1.7,6.8,2.5,Trace,5.2,1.3,0.043,6.3,21
Red bean icy drink (regular),C,100g,81,2.4,15,1.1,1.9,11,0.51,0.011,1.9,10
Iced milk tea (light),C,100g,33,0.9,5.4,0.9,0,4.8,0.37,,2.8,16
Lemon honey,C,100g,39,0,8.9,0.4,0,7.5,0,,0,Trace
Honey green tea,C,100g,29,0,6.7,Trace,0,5.8,0.0024,0,0,0
“Five flower tea”,C,100g,29,0,6.8,Trace,0,6.3,0,,0,0
Passion fruit black tea,C,100g,40,0,9.4,Trace,0,6.8,0,0,0,4
Soybean milk (sweetened),C,100g,41,2.1,5.3,1.2,0,,0.16,,0,Trace
Iced milk tea (regular),C,100g,43,1,8.3,0.7,0,7,0.27,,2.9,16
Jasmine green tea,C,100g,29,0,6.7,Trace,0,6,0,0,0,Trace
Cogon grass and sugar cane drink,C,100g,24,0,5.9,0,0,5.5,0,,0,Trace
Iced lemon and kumquat honey (regular),C,100g,45,Trace,11,Trace,0,8,0,,0,110
Iced coffee (light),C,100g,38,1,5.9,1.2,Trace,4.7,0.63,,2.7,16
Longan icy drink (regular),C,100g,45,Trace,9.2,0.8,0,7.9,0.29,,0,Trace
Iced green tea with pearls (light),C,100g,29,0,7.1,0,0,3.9,0,,0,0
Sour plum drink,C,100g,49,0,11,Trace,0,11,0,,0,0
Lemon and kumquat honey,C,100g,51,Trace,12,Trace,0,9,0,,0,130
Iced coffee (regular),C,100g,47,1,8,1.3,0,6.3,0.49,,2.7,16
Longan icy drink (regular),C,100g,51,Trace,10,0.8,0,9.3,0.15,,0,5
Iced green tea with pearls (regular),C,100g,39,0,9.6,0,0,5.9,0,,0,0
"Soybean milk (sweetened, cold)",C,100g,53,2,8.1,1.5,0,7.4,0.18,,0,0
Iced watercress honey (light),C,100g,26,Trace,6.1,0,0,5.7,0,,0,10
Iced caffe mocha (light),C,100g,53,1.4,7.1,2.2,Trace,5.8,1.3,,4.2,25
Tri-colour icy drink (light),C,100g,73,0.9,11,2.7,0.9,9,2,,0.06,7
Soybean milk (no sugar added),C,100g,28,2.4,0.89,1.6,0,0.74,0.23,,0,0
Iced watercress honey (regular),C,100g,31,0.3,7.4,0,0,7.1,0,,0,12
Iced cappuccino (light),C,100g,40,1.1,5.3,1.7,0,4.8,0.65,,3.7,17
Iced caffe mocha (regular),C,100g,59,1.4,8.4,2.1,Trace,7,1.2,,3.9,25
“Cendol” icy drink (light),C,100g,70,0,9.1,3.7,0,5.4,3,,0.24,13
Green tea with pearls,C,100g,36,0,8.8,0,0,4.2,0,,0,Trace
Watercress honey,C,100g,35,Trace,8.4,0,0,7.9,0,,0,13
Iced cappuccino (regular),C,100g,49,1.2,7.4,1.7,0,6.8,0.68,,3.6,17
Caffe mocha,C,100g,68,2.1,8.7,2.7,1.1,7.2,1.5,,5.8,41
Mixed fruit icy drink (light),C,100g,51,0,11,0.8,0,9.3,0.34,,0,Trace
Iced milk tea with pearl tapioca (light),C,100g,55,Trace,8.7,2.2,0,3.8,1.9,,Trace,19
Iced lemon cola,C,100g,32,0,7.8,0,0,7.3,0,,0,Trace
"Coffee, instant, dry powder or granules, decaffeinated",D,100g,85,18,2.5,0.3,20.6,2.3,0.11,0.00384,0,61
"Coffee, instant, dry powder or granules",D,100g,101,18,3.6,0.3,20.6,3.4,0.11,0.00384,0,61
"Pineapple, canned in pineapple juice, juice only",D,100g,45,0.3,10.6,0,0,10.6,0,0,0,1
"Coffee, black, from instant coffee powder, decaffeinated",D,100g,1,0.2,0,0,0.2,0,0,0.00003,0,3
"Pear, canned in pear juice, juice only",D,100g,44,0.2,11,0,0.2,8.8,0,0,0,6
"Coffee, black, from instant coffee powder",D,100g,1,0.2,0,0,0.2,0,0,0.00003,0,3
"Peach, canned in pear juice, juice only",D,100g,41,0.4,9.6,0,0.3,8.5,0,0,0,10
"Water, tap",D,100g,0,0,0,0,0,0,0,0,0,3
"Juice, orange & mango, commercial",D,100g,34,0.6,7.7,0,0.2,7.7,0,0,0,4
"Water, bottled, still",D,100g,0,0,0,0,0,0,0,0,0,1
"Juice, apple & blackcurrant, commercial",D,100g,39,0.2,9.3,0,0,9.3,0,0,0,6
"Juice, lime",D,100g,21,0.8,1.2,0.2,4.1,1.2,0,0,0,3
"Fruit salad, canned in fruit juice, juice only",D,100g,45,0.4,11,0,0.2,10.2,0,0,0,4
"Juice, lemon",D,100g,23,0.6,1.8,0.2,2.5,1.8,0,0,0,2
"Soy beverage, regular fat (3% fat), unfortified",D,100g,57,3.7,4.6,2.7,0.6,2.6,0.43,0.02236,0,44
"Cordial, 40% citrus fruit juice, regular, recommended dilution",D,100g,37,0,9.4,0,0,9.4,0,0,0,12
"Soft drink, tonic water",D,100g,34,0,8.8,0,0,8.8,0,0,0,12
"Cordial, 25% citrus fruit juice, regular, recommended dilution",D,100g,34,0,8.7,0,0,8.7,0,0,0,5
"Soft drink, cola flavour, decaffeinated",D,100g,49,0,12.3,0.2,0,12.3,0,0,0,2
"Cordial base, 40% citrus fruit juice, regular",D,100g,157,0.2,40.2,0,0,40.2,0,0,0,43
"Soft drink, cola flavour",D,100g,49,0,12.3,0.2,0,12.3,0,0,0,2
"Mineral water, natural, unflavoured",D,100g,0,0,0,0,0,0,0,0,0,8
"Cordial base, 25% citrus fruit juice, regular",D,100g,144,0,37.3,0,0,37.3,0,0,0,12
"Mineral water, citrus flavoured",D,100g,36,0,9.3,0,0,9.3,0,0,0,15
"Coconut, fresh, young or immature, water or juice",D,100g,26,0.2,6.6,0,0,6.6,0,0,0,5
"Coconut, fresh, mature, water or juice",D,100g,21,0.5,4.7,0.1,0,4.7,0.09,0,0,17
"Apricot, canned in pear juice, juice only",D,100g,45,0.5,10.5,0,0,8.7,0,0,0,5
Cocoa powder,D,100g,265,22.1,10.5,15.2,27.7,1.5,9.17,0,0,81
"Tea, regular, black, brewed from leaf or teabags, without milk",D,100g,0,0.1,0,0,0,0,0,0,0,0
"Beverage base, drinking chocolate, unfortified",D,100g,356,5.6,76.3,4.8,1.5,74.3,2.88,0.22485,0,160
"Coffee, long black, from ground coffee beans",D,100g,2,0.3,0,0.1,0,0,0.02,0.00077,0,3
"Bird nest, beverage",E,100g,70,0.5,16.9,0,0,,,,,5
"Aloe vera drink, flavored",E,100g,49,0,10.9,0.6,0.2,,,,0,22
Coconut juice,E,100g,37,0.1,8.5,0.3,,7,,,0,14
Passion fruit juice 25%,E,100g,74,0.2,18.1,Trace,0.1,11.1,,,0,11
Lychee juice 25%,E,100g,55,0.1,13.6,Trace,Trace,10.1,,,0,12
Red grape juice 100%,E,100g,59,0.2,14.7,0,,13.8,,,0,12
"Coffee, brewed, espresso, restaurant-prepared",A,100g,2,0.12,0,0.18,0,0,0.092,0,0,14
"Tea, brewed, prepared with tap water",A,100g,1,0,0.3,0,0,0,0.002,,0,3
"Tea, brewed, prepared with tap water, decaffeinated",A,100g,1,0,0.3,0,0,0,0.002,,0,3
"Coffee, brewed from grounds, prepared with tap water",A,100g,1,0.12,0,0.02,0,0,0.002,0,0,2
"Coffee, dry, powder, with whitener, reduced calorie",A,100g,509,1.96,59.94,29.1,0.5,59,25.128,,0,819
"Coffee, instant, with sugar, french-flavor, powder",A,100g,484,4.5,65.67,22.63,0,41.74,4.997,,0,557
"Coffee and cocoa (mocha) powder, with whitener and low calorie sweetener, decaffeinated",A,100g,257,9,71.4,13.21,4.8,34.98,11.376,,0,500
"Coffee and cocoa (mocha) powder, with whitener and low calorie sweetener",A,100g,257,9,71.4,13.21,4.8,34.98,11.376,,0,500
"Coffee, instant, with sugar, cappuccino-flavor powder",A,100g,406,3.1,85.94,5.56,1.2,69.16,3.422,,2,180
"Coffee, brewed, espresso, restaurant-prepared, decaffeinated",A,100g,0,0.1,0,0.18,0,0,0.092,0,0,14
"Tea, herb, chamomile, brewed",A,100g,1,0,0.2,0,0,0,0.002,,0,1
"Coffee, instant, with sugar, mocha-flavor, powder",A,100g,460,5.29,74.04,15.87,1.9,58.2,4.934,,0,317
"Coffee, brewed from grounds, prepared with tap water, decaffeinated",A,100g,0,0.1,0,0,0,0,0.002,0,0,2
"Tea, brewed, prepared with distilled water",A,100g,1,0,0.3,0,0,,0.002,,0,0
"Coffee, instant, with chicory, prepared with water",A,100g,3,0.09,0.75,0,0,0,0.001,,0,7
"Tea, herb, other than chamomile, brewed",A,100g,1,0,0.2,0,0,0,0.002,,0,1
"Coffee, instant, with chicory, powder",A,100g,351,9.3,74.2,0.2,0.5,,0.071,,0,277
"Tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder",A,100g,401,0.12,98.55,0.73,0.7,95.29,0.097,,0,5
"Coffee, instant, decaffeinated, powder, prepared with water",A,100g,2,0.12,0.43,0,0,0,0.001,,0,4
"Tea, instant, unsweetened, lemon-flavored, powder",A,100g,345,7.4,78.52,0.18,5,4.52,0.047,,0,55
"Coffee, instant, decaffeinated, powder",A,100g,224,11.6,42.6,0.2,0,0,0.101,,0,23
"Tea, instant, unsweetened, powder, prepared",A,100g,1,0.06,0.17,0,0,0.02,0,,0,4
"Coffee, instant, regular, prepared with water",A,100g,2,0.1,0.34,0,0,0,0.002,,0,4
"Tea, instant, unsweetened, powder",A,100g,315,20.21,58.66,0,8.5,5.53,0,,0,72
"Coffee, instant, regular, powder",A,100g,241,12.2,41.1,0.5,0,0,0.197,,0,37
"Tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder, decaffeinated",A,100g,385,0.12,98.55,0.73,0,95.29,0.091,,0,5
"Tea, instant, unsweetened, powder, decaffeinated",A,100g,315,20.21,58.66,0,8.5,5.53,0,,0,72
"Tea, “Longjing”, first grade",B,100g,331,33.3,48.9,2.7,11.1,,,,,54.4
Jasmine tea,B,100g,316,27.1,58.1,1.2,17.7,,,,,8
Black tea,B,100g,324,26.7,59.2,1.1,14.8,,,,,13.6
"Tea brick, small",B,100g,308,15.1,68.9,4,32.1,,,,,84.6
Tea brick,B,100g,283,14.5,66.7,4,38.8,,,,,15.1
Tea drink,B,100g,0,0.1,0,ND,,,,,,3.9
"“Pearl”tea, green tea, small ball shape",B,100g,334,28.7,58.3,1.7,14.6,,,,,13.3
"Tea, “Tieguanyin”, fermented",B,100g,334,22.8,65,1.3,14.7,,,,,7.8
Persimmon leaf tea,B,100g,321,25.8,59.1,1.9,17.7,,,,,
Pomegranate flower tea,B,100g,343,10.5,74.2,2.9,11.2,,,,,36.6
Green tea,B,100g,328,34.2,50.3,2.3,15.6,,,,,28.2
Iced milk tea with pearl tapioca (regular),C,100g,65,Trace,11,2.1,Trace,5.8,1.8,,Trace,19
Pearl tapioca milk tea (2018),C,100g,78,Trace,13.4,2.6,Trace,5,1.8,0.012,0.59,18
"Milk tea (Hong Kong style, no sugar added)",C,100g,44,2.2,3.1,2.6,1.1,2.8,1.3,0.066,6.8,38
Iced coffee (light),C,100g,38,1,5.9,1.2,Trace,4.7,0.63,,2.7,16
Cheese milk foam/ milk foam green tea,C,100g,57,0.39,7.1,3,0,3.5,1.6,0.043,4.4,54
Lemon coffee,C,100g,18,0.4,3.8,Trace,0,2.2,0,,0,0
Taro milk tea,C,100g,74,0.5,11,3.2,Trace,5.1,2.3,0.02,1.2,19
"Coffee (Hong Kong style, no sugar added)",C,100g,41,1.9,3.2,2.3,Trace,2,1.3,0.033,6,32
Iced coffee (regular),C,100g,47,1,8,1.3,0,6.3,0.49,,2.7,16
Matcha latte,C,100g,56,1.7,6.8,2.5,Trace,5.2,1.3,0.043,6.3,21
Iced lemon coffee (light),C,100g,28,0.3,6.8,0,0,5.7,0,,0,0
"“Yuan-yang” (Hong Kong style mixed coffee and milk tea, sweetened)",C,100g,47,2.2,4.8,2.2,,,1.2,,6.6,35
Iced caffe mocha (light),C,100g,53,1.4,7.1,2.2,Trace,5.8,1.3,,4.2,25
Passion fruit black tea,C,100g,40,0,9.4,Trace,0,6.8,0,0,0,4
Iced lemon coffee (regular),C,100g,37,0.3,8.6,0,0,7.6,0,,0,0
"Coffee (Hong Kong style, sweetened)",C,100g,43,2.2,3.9,2.1,,,1.2,,6.2,32
Iced caffe mocha (regular),C,100g,59,1.4,8.4,2.1,Trace,7,1.2,,3.9,25
Mango green tea,C,100g,37,0,8.7,Trace,0,5.7,0.0045,0,0,5.1
"Iced “Yuan-yang” (mixed coffee milk-tea, light)",C,100g,39,1.3,5.9,1.1,Trace,5.7,0.57,,3.6,14
"Milk tea (Hong Kong style, sweetened)",C,100g,45,2.3,3.6,2.4,,,1.3,,6.9,35
Caffe mocha,C,100g,68,2.1,8.7,2.7,1.1,7.2,1.5,,5.8,41
Honey green tea,C,100g,29,0,6.7,Trace,0,5.8,0.0024,0,0,0
"Iced “Yuan-yang” (mixed coffee milk-tea, regular)",C,100g,51,1.5,8.5,1.3,0,7.9,0.62,,4,16
Iced cappuccino (light),C,100g,40,1.1,5.3,1.7,0,4.8,0.65,,3.7,17
Jasmine green tea,C,100g,29,0,6.7,Trace,0,6,0,0,0,Trace
Iced cappuccino (regular),C,100g,49,1.2,7.4,1.7,0,6.8,0.68,,3.6,17
Iced lemon tea (light),C,100g,28,0,6.6,Trace,0,5.8,0,,0,0
Iced green tea with pearls (light),C,100g,29,0,7.1,0,0,3.9,0,,0,0
Cappuccino,C,100g,39,2.1,2.9,2.2,Trace,2.4,1.2,,6.8,26
Iced lemon tea (regular),C,100g,46,0,11,0.3,0,8,0,,0,0
Iced green tea with pearls (regular),C,100g,39,0,9.6,0,0,5.9,0,,0,0
Espresso,C,100g,12,0.8,1.7,Trace,Trace,0,0.046,,0,0
Lemon tea,C,100g,15,Trace,3,Trace,0,0.8,0,,0,0
Green tea with pearls,C,100g,36,0,8.8,0,0,4.2,0,,0,Trace
Milk tea with pearl tapioca (no sugar added),C,100g,72,0.3,12,2.7,Trace,5.1,2.4,0.02,0.07,24
Iced milk tea (light),C,100g,33,0.9,5.4,0.9,0,4.8,0.37,,2.8,16
Iced milk tea with pearl tapioca (light),C,100g,55,Trace,8.7,2.2,0,3.8,1.9,,Trace,19
Milk Tea with Herb Jelly (Black Tea),C,100g,45,0.31,6.9,1.8,1,4.7,1.2,0.01,1.1,26
"“Yuan-yang” (Hong Kong mixed coffee milk-tea, no sugar added)",C,100g,52,2.4,5.2,2.3,Trace,4.8,1.5,0.024,8.1,30
Iced milk tea (regular),C,100g,43,1,8.3,0.7,0,7,0.27,,2.9,16
"Coffee, black, from instant coffee powder",D,100g,1,0.2,0,0,0.2,0,0,0.00003,0,3
"Tea, regular, black, brewed from leaf or teabags, without milk",D,100g,0,0.1,0,0,0,0,0,0,0,0
"Coffee, long black, from ground coffee beans",D,100g,2,0.3,0,0.1,0,0,0.02,0.00077,0,3
"Coffee, instant, dry powder or granules, decaffeinated",D,100g,85,18,2.5,0.3,20.6,2.3,0.11,0.00384,0,61
"Coffee, instant, dry powder or granules",D,100g,101,18,3.6,0.3,20.6,3.4,0.11,0.00384,0,61
"Coffee, black, from instant coffee powder, decaffeinated",D,100g,1,0.2,0,0,0.2,0,0,0.00003,0,3
"Fruit punch-flavor drink, powder, without added sodium",A,100g,382,0,97.7,0.1,0,95.2,0.057,,0,42
"Lemonade-flavor drink, powder, prepared with water",A,100g,27,0,6.9,0.07,0,6.87,0,,0,13
"Carbonated beverage, lemon-lime soda, contains caffeine",A,100g,41,0.09,10.42,0,0,10.19,0,,0,10
"Fruit-flavored drink mix, powder, unsweetened",A,100g,226,0,91.3,0,0,0,0,,0,2727
Chocolate syrup,A,100g,279,2.1,65.1,1.13,2.6,49.65,0.519,,0,72
"Water, tap, drinking",A,100g,0,0,0,0,0,0,0,,0,4
"Carbonated beverage, grape soda",A,100g,43,0,11.2,0,0,,0,,0,15
"Cocktail mix, non-alcoholic, concentrated, frozen",A,100g,287,0.08,71.6,0.01,0,48.44,0.003,,0,0
"Lemonade-flavor drink, powder",A,100g,379,0,97.57,1.01,0,97.15,0.003,,0,130
"Chocolate-flavor beverage mix, powder, prepared with whole milk",A,100g,85,3.23,11.91,3.24,0.4,,1.86,,9,58
